PS C:\Users\Paulo\Desktop\236901\ARMP-HW2> python run.py -map map2.json
50 0.06501436233520508 ((201, 69)), g,h:[56.87005768508882,1654.1463055002118], parent: ((202, 69))
1050 1.7313897609710693 ((85, 169)), g,h:[227.17871555019073,344.38350715445125], parent: ((86, 169))
2050 3.508784770965576 ((80, 164)), g,h:[228.35028842544452,411.82520563948003], parent: ((81, 164))
3050 5.297408580780029 ((124, 169)), g,h:[228.66399692442937,392.0459156782532], parent: ((123, 169))
4050 7.178399324417114 ((110, 154)), g,h:[207.86500705120588,470.7440918375928], parent: ((109, 154))
5050 9.072820663452148 ((80, 168)), g,h:[226.49242404917558,377.3592452822641], parent: ((81, 168))
6050 10.97124195098877 ((91, 152)), g,h:[208.86500705120588,488.3646178829912], parent: ((92, 152))
7050 12.881666898727417 ((130, 165)), g,h:[230.66399692442937,460.9772228646444], parent: ((129, 165))
8050 14.840101718902588 ((57, 189)), g,h:[261.11984104714526,443.846820423443], parent: ((58, 188))
9050 16.747525215148926 ((60, 206)), g,h:[276.29141392239904,404.4749683231337], parent: ((61, 205))
10050 18.67495369911194 ((65, 202)), g,h:[269.6345596729066,350.5709628591621], parent: ((66, 201))
11050 20.647603273391724 ((116, 152)), g,h:[209.5218613006983,505.96442562694074], parent: ((115, 152))
12050 22.58803415298462 ((62, 218)), g,h:[286.29141392239904,420.4759208325728], parent: ((63, 217))
13050 24.532471895217896 ((64, 192)), g,h:[258.87720036002594,368.78177829171545], parent: ((65, 191))
14050 26.532917022705078 ((123, 161)), g,h:[219.07821048680248,452.76925690687085], parent: ((122, 161))
15050 28.498353481292725 ((60, 209)), g,h:[276.94826817189147,410.0], parent: ((61, 208))
16050 30.529805898666382 ((59, 170)), g,h:[244.22034611053354,508.0354318352215], parent: ((60, 170))
17050 32.48924279212952 ((57, 183)), g,h:[251.60512242138392,462.3851208678757], parent: ((58, 182))
18050 34.4916877746582 ((55, 174)), g,h:[249.29141392239907,519.7114584074513], parent: ((56, 174))
19050 36.45212244987488 ((54, 199)), g,h:[268.2619766708763,460.10868281309365], parent: ((55, 198))
20050 38.51959705352783 ((81, 161)), g,h:[216.7350647362949,433.82023926967724], parent: ((82, 160))
21050 40.493035078048706 ((62, 223)), g,h:[288.36248173426463,444.1846462902562], parent: ((63, 222))
22050 42.51148271560669 ((97, 141)), g,h:[192.45079348883277,590.7622195096772], parent: ((98, 141))
23050 44.50892663002014 ((131, 160)), g,h:[224.07821048680248,506.0632371551998], parent: ((130, 160))
24050 46.50637078285217 ((106, 142)), g,h:[189.86500705120588,583.09518948453], parent: ((105, 141))
25050 48.55382561683655 ((59, 196)), g,h:[262.019335983757,411.9465984809196], parent: ((60, 195))
26050 50.86011219024658 ((79, 148)), g,h:[212.76450198781762,560.8029957123981], parent: ((80, 148))
27050 52.97757935523987 ((66, 192)), g,h:[254.5340546095184,349.2849839314596], parent: ((67, 191))
28050 55.108052492141724 ((91, 146)), g,h:[199.35028842544452,547.4486277268398], parent: ((92, 146))
29050 57.18251323699951 ((121, 147)), g,h:[205.76450198781762,570.087712549569], parent: ((120, 147))
30050 59.26598858833313 ((68, 165)), g,h:[229.63455967290665,474.23622805517505], parent: ((69, 165))
31050 61.373472929000854 ((57, 165)), g,h:[240.63455967290665,554.4366510251645], parent: ((58, 165))
32050 63.42350101470947 ((113, 168)), g,h:[218.5218613006983,345.39832078341084], parent: ((112, 168))
33050 65.37794160842896 ((118, 149)), g,h:[202.76450198781762,540.8326913195983], parent: ((117, 149))
34050 67.38438725471497 ((140, 162)), g,h:[228.97770542341422,551.7245689653489], parent: ((139, 162))
35050 69.42083978652954 ((110, 163)), g,h:[210.86500705120588,383.275357934736], parent: ((109, 162))
36050 71.41828322410583 ((141, 169)), g,h:[232.04877323527975,514.0038910358559], parent: ((140, 169))
37050 73.43173050880432 ((140, 161)), g,h:[226.56349186104111,558.6591089385369], parent: ((139, 161))
38050 75.50519061088562 ((110, 163)), g,h:[210.62236636408656,383.275357934736], parent: ((109, 163))
39050 77.51563930511475 ((132, 161)), g,h:[217.7350647362949,504.47993022517755], parent: ((131, 161))
40050 79.56109356880188 ((133, 155)), g,h:[215.07821048680248,558.0322571321482], parent: ((132, 155))
41050 81.60754895210266 ((107, 161)), g,h:[205.96551211459413,396.232255123179], parent: ((107, 160))
42050 83.59436202049255 ((109, 139)), g,h:[185.37972567696724,616.6036003787199], parent: ((108, 139))
43050 85.60033059120178 ((119, 138)), g,h:[192.62236636408656,648.459713474939], parent: ((118, 138))
44050 87.6732907295227 ((62, 240)), g,h:[303.60512242138395,551.7245689653489], parent: ((63, 239))
45050 89.67192602157593 ((132, 163)), g,h:[218.07821048680248,489.18299234540035], parent: ((131, 163))
46050 91.69666886329651 ((126, 145)), g,h:[200.5218613006983,608.3584469702053], parent: ((125, 145))
47050 93.75312662124634 ((127, 143)), g,h:[199.5218613006983,630.7138812488591], parent: ((126, 143))
48050 95.79157876968384 ((126, 161)), g,h:[212.17871555019073,468.72166581031865], parent: ((125, 160))
49050 97.80102467536926 ((115, 136)), g,h:[184.37972567696724,657.3431371817918], parent: ((114, 136))
50050 99.86948370933533 ((41, 186)), g,h:[265.33304448274185,606.3827174318213], parent: ((42, 186))
51050 101.9129376411438 ((122, 163)), g,h:[211.6934341759521,430.4648650006177], parent: ((121, 162))
52050 103.92238473892212 ((124, 146)), g,h:[196.1076477383252,590.9314681077662], parent: ((123, 146))
53050 105.96025133132935 ((132, 148)), g,h:[203.17871555019073,610.5735008989499], parent: ((131, 148))
54050 108.0377128124237 ((111, 141)), g,h:[184.3086578651017,600.1666435249463], parent: ((111, 140))
55050 110.00565910339355 ((139, 165)), g,h:[220.49242404917558,524.0229002629561], parent: ((138, 165))
56050 112.01466393470764 ((127, 143)), g,h:[194.6934341759521,630.7138812488591], parent: ((126, 143))
57050 114.0881245136261 ((152, 165)), g,h:[227.63455967290665,626.8173577685927], parent: ((151, 165))
58050 116.18159770965576 ((123, 156)), g,h:[203.45079348883277,496.4876634922564], parent: ((122, 155))
59050 118.22932696342468 ((127, 144)), g,h:[193.6934341759521,621.6912416947821], parent: ((126, 144))
60050 120.26277828216553 ((134, 143)), g,h:[199.1076477383252,663.7017402418047], parent: ((133, 143))
61050 122.32567119598389 ((115, 162)), g,h:[205.3086578651017,408.5339643163099], parent: ((114, 161))
62050 124.30010938644409 ((131, 154)), g,h:[203.9360748630714,554.7071299343465], parent: ((130, 153))
63050 126.3085548877716 ((149, 162)), g,h:[220.56349186104111,620.0806399170998], parent: ((148, 162))
64050 128.38403058052063 ((132, 140)), g,h:[193.27922061357899,680.0], parent: ((131, 140))
65050 130.38947868347168 ((131, 162)), g,h:[211.6934341759521,490.40799340956914], parent: ((130, 162))
66050 132.43493604660034 ((145, 160)), g,h:[215.49242404917558,602.0797289396147], parent: ((144, 160))
67050 134.47338891029358 ((150, 162)), g,h:[218.97770542341422,628.0127387243033], parent: ((149, 161))
68050 136.55119824409485 ((152, 151)), g,h:[215.83556979968316,714.49282711585], parent: ((151, 151))
69050 138.54163932800293 ((116, 139)), g,h:[181.0660171779824,630.6346010171025], parent: ((115, 138))
70050 140.54908895492554 ((131, 138)), g,h:[189.20815280171345,693.1810730249349], parent: ((130, 138))
71050 142.61254739761353 ((133, 134)), g,h:[188.37972567696724,737.9024325749306], parent: ((132, 134))
72050 144.65300250053406 ((128, 165)), g,h:[211.20815280171345,448.2186966202994], parent: ((127, 164))
73050 146.6394443511963 ((124, 141)), g,h:[186.13708498984792,636.9458375717671], parent: ((123, 141))
74050 148.65000772476196 ((141, 148)), g,h:[200.76450198781762,662.1933252457322], parent: ((140, 148))
75050 150.76747870445251 ((157, 162)), g,h:[221.39191898578733,685.054742338158], parent: ((156, 162))
76050 152.84894108772278 ((129, 158)), g,h:[203.79393923934035,510.3920062069938], parent: ((128, 157))
77050 154.84110498428345 ((143, 155)), g,h:[207.17871555019073,622.4146527838174], parent: ((142, 155))
78050 156.8585615158081 ((152, 152)), g,h:[211.42135623731005,707.6722405181653], parent: ((151, 152))
79050 158.97220087051392 ((161, 160)), g,h:[222.56349186104111,729.4518489934753], parent: ((160, 160))
80050 161.0016520023346 ((124, 148)), g,h:[190.8944443027286,572.7128425310541], parent: ((123, 147))
81050 162.99309420585632 ((126, 135)), g,h:[179.3086578651017,700.0714249274856], parent: ((125, 135))
